project_number,file_name,line_of_business,state,received_at_est,delivered_at_est,sla_met,is_urgent,qa_delivery_by,comment,status_hours,status_label,internal,dtp_1,new,fuzzy,total,dtp_2,pm,it_eng,qa,record_id,assigned_analyst_id,template_type,language_code,received_at_utc,delivered_at_utc,egnyte_direct_link,egnyte_file_path,egnyte_file_size_kb,created_by,updated_by,created_at,updated_at
MOHE-260114-308,MHNY SWH STD Mbr Materials_02980115-6d36-4a02-b5b8-b352b698c95e_ru,NY Molina SWH – PDF,NY,2026-01-13 20:01:00,2026-01-15 16:39:00,Y,,,,44.63,44.63 Consecutive Business Hours,,,,,,0,0,0,0,6e5ba042-da2a-4740-8bd9-aad5cb370e37,,PDF,RUS,2026-01-14T01:01:00Z,2026-01-15T21:39:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260114-308,MHNY SWH STD Mbr Materials_1d82fbb7-f610-4a3f-b4d5-c9eef1547a07_ru,NY Molina SWH – PDF,NY,2026-01-14 15:00:00,2026-01-15 16:39:00,Y,,,,25.65,25.65 Consecutive Business Hours,,,,,,0,0,0,0,1ec20560-8807-4492-9d1c-ce34767ee269,,PDF,RUS,2026-01-14T20:00:00Z,2026-01-15T21:39:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260114-308,MHNY SWH STD Mbr Materials_28872b0a-0abd-4bd6-97c3-a732ab2f729f_ru,NY Molina SWH – PDF,NY,2026-01-14 15:00:00,2026-01-15 16:39:00,Y,,,,25.65,25.65 Consecutive Business Hours,,,,,,0,0,0,0,e19e8d8f-5bfc-4fe6-9c00-484a9757c6dc,2,PDF,RUS,2026-01-14T20:00:00Z,2026-01-15T21:39:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260114-308,MHNY SWH STD Mbr Materials_b54a803a-ded8-4163-b4ca-d7d978c434d8_ru,NY Molina SWH – PDF,NY,2026-01-14 15:00:00,2026-01-15 16:39:00,Y,,,,25.65,25.65 Consecutive Business Hours,,,,,,0,0,0,0,8315ef08-69e4-48e7-9094-403d71a21663,,PDF,RUS,2026-01-14T20:00:00Z,2026-01-15T21:39:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260114-308,MHNY SWH STD Mbr Materials_d5db1ced-6907-4f59-aec2-4e2531089723_ru,NY Molina SWH – PDF,NY,2026-01-14 15:00:00,2026-01-15 16:39:00,Y,,,,25.65,25.65 Consecutive Business Hours,,,,,,0,0,0,0,d1e51920-6d1b-4926-9329-bcce886a86e7,,PDF,RUS,2026-01-14T20:00:00Z,2026-01-15T21:39:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260114-308,MHNY SWH STD Mbr Materials_d7cd7e30-0fc6-411f-b916-588720eb6c83_ru,NY Molina SWH – PDF,NY,2026-01-14 15:00:00,2026-01-15 16:39:00,Y,,,,25.65,25.65 Consecutive Business Hours,,,,,,0,0,0,0,c51a5ba2-2262-4f32-b037-d8f65c985102,5,PDF,RUS,2026-01-14T20:00:00Z,2026-01-15T21:39:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Care Plan_2eb056cd-0816-4a44-a6f8-6dcc02534f4f_ru,NY Molina SWH – PDF,NY,2026-01-14 15:01:00,2026-01-16 13:12:00,Y,,,,46.18,46.18 Consecutive Business Hours,,3.7,551,66,13456,1.3,0.85,1.55,0,99fb8548-19ce-480b-a27e-6cb626e15d3b,,PDF,RUS,2026-01-14T20:01:00Z,2026-01-16T18:12:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Care Plan_eb44365e-25d1-4fee-bb09-bacc4fa223ed_ru,NY Molina SWH – PDF,NY,2026-01-14 15:01:00,2026-01-16 13:12:00,Y,,,,46.18,46.18 Consecutive Business Hours,,,,,,0,0,0,0,c535f192-37ca-412b-afb5-153e73cf4bee,2,PDF,RUS,2026-01-14T20:01:00Z,2026-01-16T18:12:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Mbr Materials_6ac12445-a996-4716-90af-b3c66cea21e5_ru,NY Molina SWH – PDF,NY,2026-01-14 15:01:00,2026-01-15 18:09:00,Y,,,,27.13,27.13 Consecutive Business Hours,,,,,,0,0,0,0,8a32649e-5366-4ff1-96c3-4f868fd8eb65,,PDF,RUS,2026-01-14T20:01:00Z,2026-01-15T23:09:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Care Plan_7e122596-b4c4-4f3f-96a9-a66c981df3e1_ru,NY Molina SWH – PDF,NY,2026-01-14 20:01:00,2026-01-16 13:12:00,Y,,,,41.18,41.18 Consecutive Business Hours,,,,,,0,0,0,0,7ba73be1-b31c-4871-98f0-4d5e393dbda3,,PDF,RUS,2026-01-15T01:01:00Z,2026-01-16T18:12:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Mbr Materials_0f4fe708-9472-4932-9589-0f454cc34010_ru,NY Molina SWH – PDF,NY,2026-01-14 20:01:00,2026-01-15 18:09:00,Y,,,,22.14,22.14 Consecutive Business Hours,,,,,,0,0,0,0,6c266f3c-ae98-4f45-8684-e48e424dba74,,PDF,RUS,2026-01-15T01:01:00Z,2026-01-15T23:09:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Mbr Materials_cea0f77e-f2ce-4295-a221-3483768ec5b1_ru,NY Molina SWH – PDF,NY,2026-01-14 20:01:00,2026-01-16 13:12:00,Y,,,,41.18,41.18 Consecutive Business Hours,,,,,,0,0,0,0,5a8134d4-42d5-47b7-9061-e61942cff68d,2,PDF,RUS,2026-01-15T01:01:00Z,2026-01-16T18:12:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Mbr Materials_ab7eb918-d4cb-4c0a-886d-4251d164fe13_ru,NY Molina SWH – PDF,NY,2026-01-15 00:00:00,2026-01-15 18:09:00,Y,,,,10.16,10.16 Consecutive Business Hours,,,,,,0,0,0,0,5581794e-372b-409f-a563-f3416f054bdb,,PDF,RUS,2026-01-15T05:00:00Z,2026-01-15T23:09:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Mbr Materials_8d47004c-0104-4af5-9ccf-6765ce913d03_ru,NY Molina SWH – PDF,NY,2026-01-15 00:00:00,2026-01-15 18:09:00,Y,,,,10.16,10.16 Consecutive Business Hours,,,,,,0,0,0,0,5d35fbdb-5967-460b-a8fd-8c05e11473d4,2,PDF,RUS,2026-01-15T05:00:00Z,2026-01-15T23:09:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260115-342,MHNY SWH STD Mbr Materials_498afce0-58cc-464b-96fb-de2dd6cd2743_ru,NY Molina SWH – PDF,NY,2026-01-15 00:00:00,2026-01-15 18:09:00,Y,,,,10.16,10.16 Consecutive Business Hours,,,,,,0,0,0,0,4f47613f-76bf-4a2e-b8be-0723e4eae63c,,PDF,RUS,2026-01-15T05:00:00Z,2026-01-15T23:09:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260116-379,MHNY SWH STD Care Plan_985f1aff-17c7-4419-aff4-78408be9a24e_ru,NY Molina SWH – PDF,NY,2026-01-15 15:01:00,2026-01-16 17:54:00,Y,,,,26.89,26.89 Consecutive Business Hours,,2.2,46,18,13335,0.77,0.51,0.92,0,d7ca67cf-1b81-41aa-b015-c7cc2c0171d1,,PDF,RUS,2026-01-15T20:01:00Z,2026-01-16T22:54:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260116-379,MHNY SWH STD Mbr Materials_678880f9-3983-4939-b6ba-578715c70009_ru,NY Molina SWH – PDF,NY,2026-01-15 16:00:00,2026-01-16 17:54:00,Y,,,,25.9,25.90 Consecutive Business Hours,,,,,,0,0,0,0,772d5b93-7380-47dc-aa69-f1832c70a6dc,,PDF,RUS,2026-01-15T21:00:00Z,2026-01-16T22:54:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260116-379,MHNY SWH STD Care Plan_c2969be9-d288-4b56-85dd-5394174582bc_ru,NY Molina SWH – PDF,NY,2026-01-15 21:02:00,2026-01-16 17:54:00,Y,,,,9.91,9.91 Consecutive Business Hours,,,,,,0,0,0,0,b19ed5b0-95f7-4d6b-89e1-77f947d20007,,PDF,RUS,2026-01-16T02:02:00Z,2026-01-16T22:54:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Care Plan_c5ee3f2a-2afc-48e6-8163-a3893a0c244b_ru,NY Molina SWH – PDF,NY,2026-01-16 15:02:00,2026-01-20 12:11:00,Y,,,,45.15,45.15 Consecutive Business Hours,,3.8,184,67,13554,1.33,0.87,1.6,0,2e07c8f4-5c8c-49dd-9527-a85d3225b339,2,PDF,RUS,2026-01-16T20:02:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_68c7ee71-17e4-421f-a829-4d717920e0f6_ru,NY Molina SWH – PDF,NY,2026-01-16 15:02:00,2026-01-20 12:11:00,Y,,,,45.15,45.15 Consecutive Business Hours,,,,,,0,0,0,0,dfdbeae0-2648-4ae6-8377-7570f32f80db,,PDF,RUS,2026-01-16T20:02:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_33badb9b-9efe-4cee-b973-05f240d5b35d_ru,NY Molina SWH – PDF,NY,2026-01-16 15:02:00,2026-01-20 12:11:00,Y,,,,45.15,45.15 Consecutive Business Hours,,,,,,0,0,0,0,1c74b935-e796-4e42-8a49-7ec778ea1349,,PDF,RUS,2026-01-16T20:02:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_6f8955c6-867a-4ff7-88bd-15c56bc4c802_ru,NY Molina SWH – PDF,NY,2026-01-16 15:02:00,2026-01-20 12:11:00,Y,,,,45.15,45.15 Consecutive Business Hours,,,,,,0,0,0,0,fd118edd-245e-4f01-9701-6802a4a4b719,2,PDF,RUS,2026-01-16T20:02:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_7ca1dbed-6bde-4288-80b1-e442c9c2c709_ru,NY Molina SWH – PDF,NY,2026-01-16 15:02:00,2026-01-20 12:11:00,Y,,,,45.15,45.15 Consecutive Business Hours,,,,,,0,0,0,0,8e02c23f-ca55-4f73-9286-772af1a137ce,,PDF,RUS,2026-01-16T20:02:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_31fcd4ec-df40-48ac-a5f0-79dd9c9a0cd5_ru,NY Molina SWH – PDF,NY,2026-01-16 15:02:00,2026-01-20 12:11:00,Y,,,,45.15,45.15 Consecutive Business Hours,,,,,,0,0,0,0,1cdcbff1-fdc6-41f2-bb7c-bf892d602d78,,PDF,RUS,2026-01-16T20:02:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Advance Directive_2c985eef-e72f-40c6-afd7-67a68ea3c328_ru,NY Molina SWH – PDF,NY,2026-01-16 20:01:00,2026-01-20 12:11:00,Y,,,,40.18,40.18 Consecutive Business Hours,,,,,,0,0,0,0,3455aee4-907f-47af-917a-e215a528c843,2,PDF,RUS,2026-01-17T01:01:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_ac672584-901f-49f3-90e6-f9c821af3d6c_ru,NY Molina SWH – PDF,NY,2026-01-16 21:00:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,66e464a2-60dd-4937-9191-3027de3ba329,,PDF,RUS,2026-01-17T02:00:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_99bdf53d-19ac-4726-8b98-1a1437035be0_ru,NY Molina SWH – PDF,NY,2026-01-18 17:00:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,88b520a8-ac50-4bfe-943c-1ff407ec2ab2,,PDF,RUS,2026-01-18T22:00:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_98c7fb77-f80b-4a8d-be96-777f468fb732_ru,NY Molina SWH – PDF,NY,2026-01-18 17:00:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,c03c5618-ffc8-47da-a770-2246c1b23887,2,PDF,RUS,2026-01-18T22:00:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_434d6bc2-388f-4d94-81bb-9eebf9a9b5c2_ru,NY Molina SWH – PDF,NY,2026-01-18 17:00:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,677db5a2-dd35-4873-9c46-63ebd9d07da1,,PDF,RUS,2026-01-18T22:00:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_68a37c0b-bd6a-4e8e-9d2b-fe6faedb61e1_ru,NY Molina SWH – PDF,NY,2026-01-18 17:01:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,2f0d49e2-ce0a-414f-8b63-34946112414c,,PDF,RUS,2026-01-18T22:01:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_86c5439f-4551-460e-823a-ecfc684d043a_ru,NY Molina SWH – PDF,NY,2026-01-18 17:01:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,543e22c4-93e9-4be2-b0b7-5f4a790ef396,,PDF,RUS,2026-01-18T22:01:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_91130f32-1ad3-482e-99e0-82df59bbfe21_ru,NY Molina SWH – PDF,NY,2026-01-18 17:01:00,2026-01-20 12:11:00,Y,,,,28.2,28.20 Consecutive Business Hours,,,,,,0,0,0,0,501f7fdd-24e4-4284-b3a5-99b03b9c68cd,2,PDF,RUS,2026-01-18T22:01:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260119-429,MHNY SWH STD Mbr Materials_004f07a3-ebb7-4108-bf67-4beb86a77a96_ru,NY Molina SWH – PDF,NY,2026-01-18 17:01:00,2026-01-20 12:11:00,Y,,,,28.19,28.19 Consecutive Business Hours,,,,,,0,0,0,0,a9b16b1a-1770-4c74-8871-c3e3f219c0b9,,PDF,RUS,2026-01-18T22:01:00Z,2026-01-20T17:11:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260120-469,MHNY SWH STD Care Plan_02de0f3f-b3b3-437c-81eb-818b2aa28503_ru,NY Molina SWH – PDF,NY,2026-01-20 14:01:00,2026-01-21 16:19:00,Y,,,,26.3,26.30 Consecutive Business Hours,,1,53,9,5728,0.35,0.23,0.42,0,2b20e63e-b795-463c-ab58-82a38bf42854,,PDF,RUS,2026-01-20T19:01:00Z,2026-01-21T21:19:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_462b9f28-1c05-41ea-9d44-cd1c6d41bb5b_ru,NY Molina SWH – PDF,NY,2026-01-20 17:01:00,2026-01-21 19:31:00,Y,,,,26.5,26.50 Consecutive Business Hours,,,,,,0,0,0,0,ae11c4d9-65f8-4544-a08e-c64aa141b462,1,PDF,RUS,2026-01-20T22:01:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_b5043a07-e2d5-4a28-be46-0b202ee45b08_ru,NY Molina SWH – PDF,NY,2026-01-20 17:01:00,2026-01-21 19:31:00,Y,,,,26.5,26.50 Consecutive Business Hours,,1.8,,,4859,0.63,0.41,0.76,0,5ff21383-a67f-4989-b184-adc32c521ef8,1,PDF,RUS,2026-01-20T22:01:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_c0d52d01-ff1f-4aa4-9734-e52a9e0cbff3_ru,NY Molina SWH – PDF,NY,2026-01-20 17:01:00,2026-01-21 19:31:00,Y,,,,26.5,26.50 Consecutive Business Hours,,,,,,0,0,0,0,70489f2b-dac8-476e-85bc-1522c2d2009a,1,PDF,RUS,2026-01-20T22:01:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_e47defe9-57c5-4f5f-b780-5fc325da0de5_ru,NY Molina SWH – PDF,NY,2026-01-20 20:01:00,2026-01-21 19:31:00,Y,,,,23.5,23.50 Consecutive Business Hours,,,,,,0,0,0,0,d04db224-d5d6-415a-9923-2df9584a4729,1,PDF,RUS,2026-01-21T01:01:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Advance Directive_e65c971f-a64d-4ea0-bb0e-68587cbbc51d_ru,NY Molina SWH – PDF,NY,2026-01-20 20:01:00,2026-01-21 19:31:00,Y,,,,23.5,23.50 Consecutive Business Hours,,,,,,0,0,0,0,f7c45a78-ecf0-4725-b998-6aa3e9881d6d,,PDF,RUS,2026-01-21T01:01:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_2f0b6ddc-46e8-480f-9bc4-e59a1e4a2d05_ru,NY Molina SWH – PDF,NY,2026-01-21 02:00:00,2026-01-21 19:31:00,Y,,,,11.52,11.52 Consecutive Business Hours,,,,,,0,0,0,0,807a009b-6a6d-44e2-a556-c49e39ebf94e,1,PDF,RUS,2026-01-21T07:00:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_31bb27be-403e-4028-a509-e838a6488db4_ru,NY Molina SWH – PDF,NY,2026-01-21 02:00:00,2026-01-21 19:31:00,Y,,,,11.52,11.52 Consecutive Business Hours,,,,,,0,0,0,0,9dfd91be-efa9-4b4d-b6a8-0ce610e7ef2e,1,PDF,RUS,2026-01-21T07:00:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_a6691384-80f7-4fa7-8288-96511f80ebaf_ru,NY Molina SWH – PDF,NY,2026-01-21 02:00:00,2026-01-21 19:31:00,Y,,,,11.52,11.52 Consecutive Business Hours,,,,,,0,0,0,0,4d8adc41-e685-4ed7-aee9-1f0fe121ab3d,1,PDF,RUS,2026-01-21T07:00:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260121-478,MHNY SWH STD Mbr Materials_785af3ca-df97-480d-a9e9-314703031cf7_ru,NY Molina SWH – PDF,NY,2026-01-21 02:00:00,2026-01-21 19:31:00,Y,,,,11.52,11.52 Consecutive Business Hours,,,,,,0,0,0,0,3b75d95a-f1ec-49bd-8da4-6d82cf50c98d,1,PDF,RUS,2026-01-21T07:00:00Z,2026-01-22T00:31:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Advance Directive_9c7c6a73-e312-4ce4-af15-34f2b4dc3d9b_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,2,,,5453,0.7,0.46,0.84,0,90fa16aa-b2ef-4bab-8218-6897d47201d9,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Advance Directive_31ea0372-f2e1-4d93-8ab1-a9d15b49c914_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,261542fa-dfa5-4b70-ac3d-7b13b8e93e5d,,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_5f42a7ec-bd46-4a56-9e05-f3b3ce907be9_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,4636fc41-a12a-4734-b95e-cacc2ae0be0b,,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_8ce42b47-d190-4a65-b4cf-80260b4ecf80_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,c44a9c37-2858-4928-96ad-7ca07cba0d6d,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_9f68be22-c3b1-460f-8359-381f50ca6442_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,62202189-36e0-4cfa-8e3d-14359172395d,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_62f9ac10-23d6-43b4-996d-9e8dd9b18dd2_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,ca32bf58-f611-4e73-93b7-b8d5004ab98d,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_4325a7f3-e05b-4655-8447-df7b0d98cd15_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,1b531057-105f-49d8-a643-37e7eb6de6d9,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_c7ab44a3-5050-4b48-8cb4-027e20f0b7e3_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,bf19e198-2c40-4e44-9462-f453f52bb6ca,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_c40d8cdf-6205-450d-b341-241b9c051e46_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,eff53c1c-37e7-4158-943b-ea9cce90975d,,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_cc7968df-dac2-425a-a818-d5ec80082288_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-23 15:40:00,Y,,,,43.65,43.65 Consecutive Business Hours,,,,,,0,0,0,0,9c03a26a-f314-44d0-b12c-5a20999df8e3,,PDF,RUS,2026-01-22T01:01:00Z,2026-01-23T20:40:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_d216979e-8b18-4352-a2c6-5c2512afe0a4_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-22 17:24:00,Y,,,,21.38,21.38 Consecutive Business Hours,,1.4,,,3611,0.49,0.32,0.59,0,6d4bf280-f16b-48ba-8db8-0a5a456ae156,,PDF,RUS,2026-01-22T01:01:00Z,2026-01-22T22:24:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_dc2a1cb4-4828-4e75-a032-8593a9dde236_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-22 17:24:00,Y,,,,21.37,21.37 Consecutive Business Hours,,,,,,0,0,0,0,c9f2763b-b200-4652-9cc0-97d2be7d0a31,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-22T22:24:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_fee48675-8a2a-4732-9549-e1bdb1e1b1c8_ru,NY Molina SWH – PDF,NY,2026-01-21 20:01:00,2026-01-22 17:24:00,Y,,,,21.38,21.38 Consecutive Business Hours,,,,,,0,0,0,0,69100702-37a4-4927-814a-e7e33388813a,1,PDF,RUS,2026-01-22T01:01:00Z,2026-01-22T22:24:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
MOHE-260122-503,MHNY SWH STD Mbr Materials_203d6d25-c470-411a-a171-2bad0407ad3d_ru,NY Molina SWH – PDF,NY,2026-01-21 23:01:00,2026-01-22 17:23:00,Y,,,,9.4,9.40 Consecutive Business Hours,,,,,,0,0,0,0,8d82c51f-8fa4-43de-8db6-983b837b5e03,,PDF,RUS,2026-01-22T04:01:00Z,2026-01-22T22:23:00Z,,,,,,2026-08-22T16:11:12Z,2026-08-22T16:11:12Z
